SampleName,TotalRU,M:C,BIX,HIX,FI,UltraVioletHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
137,19.08431998,1.475809941,0.782583128,0.557642772,1.689266847,0.008253175,0.011188923,0.007581547,0.018931638,0.021655835,0.003379327,0.021358414,0.022357554,0.010423843,0.021451304,0.010245859,0.005227926,0.00654541
138,29.66129818,1.243028081,0.727716898,0.573290978,1.745261526,0.012031157,0.013950667,0.011223131,0.031899882,0.03607346,0.009591188,0.014806856,0.034644225,0.013698895,0.033602149,0.014840583,0.007510243,0.00103481
139,22.17419507,1.232819731,0.706743273,1.186873094,1.623807274,0.012658677,0.014301644,0.011600758,0.018296454,0.013991733,0,0.008296566,0.022616209,0.013798566,0.010749463,0.017515704,0.008673799,0.00236388
140,32.01338943,1.128255103,0.818322032,1.201204365,1.617632534,0.016472264,0.017961847,0.015920023,0.024625777,0.018119885,0.01625307,0.015979342,0.02467779,0.017831251,0.025065503,0.023545503,0.012229176,0.005403227
141,35.20113986,1.281513604,0.781740363,0.872540757,1.648618915,0.017577286,0.022097195,0.017243044,0.034015311,0.032809821,0.012691406,0.024740975,0.036966841,0.020432455,0.031905594,0.024275931,0.012236359,0.010036085
142,24.89719843,1.264104359,0.824907814,0.812436117,1.615441851,0.013392395,0.015501641,0.012262944,0.030243238,0.039615736,0,0.040002441,0.033637336,0.015402961,0.015265105,0.019717649,0.007675975,0.017928976
143,33.64907521,1.215854487,0.789137188,0.826564207,1.640180793,0.017158066,0.019815453,0.016297553,0.041566861,0.032770463,0.012671609,0.039809651,0.040490396,0.019075298,0.022195409,0.027458997,0.011385939,0.018695109
144,46.01103442,1.393452198,1.333056004,0.613527613,1.807340653,0.013957275,0.017812592,0.012783067,0.06956061,0.02721567,0.017243362,0.23790278,0.018437105,0.013167992,0,0.018397485,0.009315477,0.229655515
145,26.74140241,1.180270525,0.788854007,0.894556067,1.557809726,0.013168312,0.014631448,0.01239669,0.028169833,0.030126894,0.001529705,0.043454387,0.027332201,0.014513669,0.013989235,0.019912624,0.009329525,0.01697384
146,24.24895239,1.380275691,0.730309897,0.629784091,1.892251138,0.010043305,0.012433587,0.009008046,0.024913948,0.028546794,0.009003252,0.026343195,0.029560512,0.011582029,0.019924272,0.015839537,0.006926,0.002651677
147,18.4575351,1.511942391,0.99546346,0.496758457,1.763334336,0.008728225,0.010663446,0.007052813,0.026003766,0.030224552,0.010679787,0.018034334,0.02894259,0.01024198,0.017065844,0.013169899,0.003778192,0.010446422
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,40.52693241,1.275533858,1.061205551,0.450605845,1.737029904,0.01402946,0.016732465,0.013118009,0.074691845,0.057849986,0.013164498,0.101177945,0.0613735,0.016055939,0.059743562,0.018669292,0.00733577,0.055384584
150,28.67978555,1.451608387,0.537232794,0.392851181,1.62965396,0.0151112,0.0153607,0.010581849,0.036197648,0.033875405,0.012143184,0.046297126,0.03185505,0.013926297,0.086911106,0.010060275,0.007426017,0.013565683
151,15.41858549,1.669224408,0.762962428,0.538394322,1.355414658,0.006842031,0.008710987,0.005218583,0.016407529,0.017317765,0,0.012281786,0.021411543,0.007298977,0.004731433,0.011590621,0.003488548,0.006812226
152,26.48789051,1.707160921,0.740327152,0.539059754,1.721113695,0.010081945,0.015161797,0.008881293,0.030770093,0.033746098,0.000104079,0.024655121,0.032893342,0.013174071,0.010627236,0.017193869,0.004758714,0.018448003
153,21.39168049,1.493439204,0.790881097,0.656561634,1.657536167,0.010371074,0.013662164,0.009148122,0.027303279,0.02312453,0,0.009519954,0.031409857,0.012803514,0.014003266,0.017248722,0.004701231,0.004863606
154,24.73181724,1.487443521,0.672450882,0.825232121,1.749209367,0.010299449,0.013213948,0.008883663,0.017319587,0.028359338,0,0.018251307,0.020058162,0.011638204,0.011943255,0.015641763,0.005973839,0.010644476
