"","Observed","Shannon","FaithPD","sample.id","site.number","lat","long","sample_type","collection_time","collection_date","Phosphate","Nitrite_plus_Nitrate","Ammonia"
"140_LW0521",128,4.01854339331918,20.330053415,"140_LW0521","140",-17.49716,-149.86264,"lagoon_water","13:57","5/25/21",0.13,0.54,0.47
"142_LW0521",175,4.32100634530518,23.615782314,"142_LW0521","142",-17.49376,-149.85192,"lagoon_water","15:15","5/25/21",0.12,0.37,0.5
"143_LW0521",173,4.36929283130005,31.533296296,"143_LW0521","143",-17.49083,-149.85442,"lagoon_water","15:41","5/25/21",0.22,0.54,0.82
"144_LW0521",103,3.92580487617012,16.810015221,"144_LW0521","144",-17.48895,-149.855,"lagoon_water","16:12","5/25/21",0.17,0.39,0.73
"145_LW0521",44,3.05372838779038,9.554196758,"145_LW0521","145",-17.48967,-149.84942,"lagoon_water","12:55","5/26/21",0.17,0.46,1.68
"147_LW0521",66,3.6019419422651,10.324495439,"147_LW0521","147",-17.48169,-149.84987,"lagoon_water","11:44","5/26/21",0.15,0.29,0.62
"149_LW0521",64,3.51054579359267,13.403100331,"149_LW0521","149",-17.4865,-149.85203,"lagoon_water","13:16","5/26/21",0.16,0.46,0.73
"151_LW0521",37,2.99120140968357,8.120252081,"151_LW0521","151",-17.47822,-149.84236,"lagoon_water","11:11","5/26/21",0.13,0.31,0.61
"153_LW0521",83,3.86841052113114,13.237807565,"153_LW0521","153",-17.47842,-149.83398,"lagoon_water","10:17","5/26/21",0.14,0.38,0.64
"154_LW0521",68,3.18783257825748,12.595156928,"154_LW0521","154",-17.47973,-149.83653,"lagoon_water","16:03","5/24/21",0.13,0.35,0.65
"155_LW0521",70,3.51261979556829,12.536276259,"155_LW0521","155",-17.48487,-149.83479,"lagoon_water","15:50","5/24/21",0.14,0.41,0.64
"156_LW0521",84,3.58866364248238,14.777017717,"156_LW0521","156",-17.48503,-149.83127,"lagoon_water","15:35","5/24/21",0.13,0.33,0.17
"157_LW0521",62,3.36399742899565,13.146301426,"157_LW0521","157",-17.48115,-149.83014,"lagoon_water","14:53","5/24/21",0.11,0.18,0.34
"160_LW0521",79,3.67509978682816,13.004001943,"160_LW0521","160",-17.48205,-149.82621,"lagoon_water","14:28","5/24/21",0.17,0.69,0.26
"162_LW0521",323,5.00081290779403,39.050353515,"162_LW0521","162",-17.476,-149.78036,"lagoon_water","10:45","5/23/21",0.15,0.27,0.41
"163_LW0521",55,3.4779927423782,10.148484941,"163_LW0521","163",-17.47785,-149.78665,"lagoon_water","11:58","5/23/21",0.17,0.25,0.21
"165_LW0521",372,4.98423207247172,47.910986599,"165_LW0521","165",-17.47961,-149.79613,"lagoon_water","16:15","5/23/21",0.17,0.77,0.4
"166_LW0521",225,4.52550975041791,24.280287174,"166_LW0521","166",-17.47499,-149.78672,"lagoon_water","11:32","5/23/21",0.15,0.29,0.13
"167_LW0521",248,4.67027427122637,28.706844569,"167_LW0521","167",-17.47283,-149.78103,"lagoon_water","11:06","5/23/21",0.13,0.3,0.9
"168_LW0521",272,4.73450417018288,29.258151128,"168_LW0521","168",-17.47187,-149.78655,"lagoon_water","12:31","5/23/21",0.15,0.27,0.44
"169_LW0521",249,4.60792158205734,25.604264348,"169_LW0521","169",-17.47434,-149.79374,"lagoon_water","15:18","5/23/21",0.16,0.31,0.91
"170_LW0521",224,4.62471684912512,27.533759457,"170_LW0521","170",-17.47682,-149.79501,"lagoon_water","15:50","5/23/21",0.16,0.39,0.84
"172_LW0521",169,4.23224919117705,23.629618415,"172_LW0521","172",-17.48044,-149.79966,"lagoon_water","10:35","5/25/21",0.17,0.66,1.66
"173_LW0521",194,4.24872139177219,21.398556868,"173_LW0521","173",-17.47605,-149.79737,"lagoon_water","10:15","5/25/21",0.16,0.44,0.72
"175_LW0521",40,3.13884826665741,7.954594412,"175_LW0521","175",-17.48082,-149.80484,"lagoon_water","11:23","5/25/21",0.12,0.58,0.34
"176_LW0521",61,3.41825935430706,12.164997526,"176_LW0521","176",-17.48256,-149.81385,"lagoon_water","15:50","5/25/21",0.17,0.84,0.75
"178_LW0521",45,3.2199141316631,8.585160911,"178_LW0521","178",-17.48729,-149.81839,"lagoon_water","16:15","5/25/21",0.12,0.97,0.42
"179_LW0521",64,3.58762869292932,10.668776922,"179_LW0521","179",-17.4812,-149.8176,"lagoon_water","14:50","5/25/21",0.1,0.34,0.26
"180_LW0521",47,3.5019287755164,8.404020657,"180_LW0521","180",-17.47708,-149.82124,"lagoon_water","9:32","5/26/21",0.16,0.49,1.01
"188_LW0521",44,3.2087345268033,12.987795213,"188_LW0521","188",-17.47807,-149.81724,"lagoon_water","15:20","5/25/21",0.17,0.28,1.66
