"","Abundance","Site_number","Family"
"125",0.172661870503597,"42","Rhodobacteraceae"
"126",0.172413793103448,"163","Rhodobacteraceae"
"127",0.16839378238342,"172","Flavobacteriaceae"
"128",0.167741935483871,"143","Cryomorphaceae"
"129",0.16751269035533,"93","Moraxellaceae"
"130",0.165254237288136,"81","Rhodobacteraceae"
"131",0.165217391304348,"100","Rhodobacteraceae"
"132",0.164,"131","Cryomorphaceae"
"133",0.161943319838057,"64","Flavobacteriaceae"
"134",0.160919540229885,"83","Rhodobacteraceae"
"135",0.160714285714286,"43","Cryomorphaceae"
"136",0.160278745644599,"179","Flavobacteriaceae"
"137",0.159722222222222,"208","Moraxellaceae"
"138",0.15948275862069,"65","Rhodobacteraceae"
"139",0.159090909090909,"122","Flavobacteriaceae"
"140",0.157894736842105,"205","Cryomorphaceae"
"141",0.157894736842105,"48","Flavobacteriaceae"
"142",0.156976744186047,"62","Cryomorphaceae"
"143",0.156626506024096,"50","Rhodobacteraceae"
"144",0.156,"131","Rhodobacteraceae"
"145",0.154761904761905,"51","Moraxellaceae"
"146",0.153846153846154,"170","Rhodobacteraceae"
"147",0.153846153846154,"64","Rhodobacteraceae"
"148",0.152849740932642,"172","Rhodobacteraceae"
"149",0.152,"188","Flavobacteriaceae"
"150",0.151376146788991,"39","Cryomorphaceae"
"151",0.150793650793651,"51","Rhodobacteraceae"
"152",0.149425287356322,"163","Moraxellaceae"
"153",0.147727272727273,"122","Cryomorphaceae"
"154",0.147186147186147,"169","Flavobacteriaceae"
"155",0.145390070921986,"167","Moraxellaceae"
"156",0.145299145299145,"170","Flavobacteriaceae"
"157",0.144329896907216,"201","Rhodobacteraceae"
"158",0.143396226415094,"OPU 1","Flavobacteriaceae"
"159",0.141843971631206,"180","Flavobacteriaceae"
"160",0.141078838174274,"53","Cryomorphaceae"
"161",0.140845070422535,"29","Flavobacteriaceae"
"162",0.140583554376658,"165","Moraxellaceae"
"163",0.13953488372093,"57","Flavobacteriaceae"
"164",0.139130434782609,"100","Vibrionaceae"
"165",0.139130434782609,"102","Vibrionaceae"
"166",0.138709677419355,"143","Flavobacteriaceae"
"167",0.138504155124654,"162","Cryomorphaceae"
"168",0.1375,"128","Cryomorphaceae"
"169",0.136792452830189,"153","Cryomorphaceae"
"170",0.136752136752137,"168","Flavobacteriaceae"
"171",0.133333333333333,"41","Flavobacteriaceae"
"172",0.132743362831858,"59","Rhodobacteraceae"
"173",0.130769230769231,"160","Flavobacteriaceae"
"174",0.130193905817175,"162","Moraxellaceae"
"175",0.128865979381443,"201","Cryomorphaceae"
"176",0.128630705394191,"53","Rhodobacteraceae"
"177",0.127906976744186,"55","Moraxellaceae"
"178",0.127413127413127,"157","Flavobacteriaceae"
"179",0.12719298245614,"166","Rhodobacteraceae"
"180",0.125984251968504,"91","Rhodobacteraceae"
"181",0.12589928057554,"38","Flavobacteriaceae"
"182",0.125,"128","Rhodobacteraceae"
"183",0.123893805309735,"56","Flavobacteriaceae"
"184",0.123893805309735,"59","Flavobacteriaceae"
"185",0.123853211009174,"39","Flavobacteriaceae"
"186",0.123134328358209,"154","Cryomorphaceae"
"187",0.123076923076923,"160","Rhodobacteraceae"
"188",0.122641509433962,"153","Moraxellaceae"
"189",0.122448979591837,"173","Moraxellaceae"
"190",0.122171945701357,"140","Cryomorphaceae"
"191",0.121212121212121,"169","Rhodobacteraceae"
"192",0.120967741935484,"84","Rhodobacteraceae"
"193",0.120689655172414,"79","Rhodobacteraceae"
"194",0.120689655172414,"65","Flavobacteriaceae"
"195",0.120218579234973,"147","Cryomorphaceae"
"196",0.119047619047619,"51","Cryomorphaceae"
"197",0.11864406779661,"81","Moraxellaceae"
"198",0.117924528301887,"153","Flavobacteriaceae"
"199",0.117647058823529,"209","Rhodobacteraceae"
"200",0.117408906882591,"Cook's 1","Flavobacteriaceae"
"201",0.116981132075472,"OPU 1","Cryomorphaceae"
"202",0.116751269035533,"93","Moraxellaceae"
"203",0.116279069767442,"57","Cryomorphaceae"
"204",0.116279069767442,"55","Rhodobacteraceae"
"205",0.116071428571429,"43","Flavobacteriaceae"
"206",0.115501519756839,"87","Moraxellaceae"
"207",0.115151515151515,"41","Moraxellaceae"
"208",0.115107913669065,"42","Cryomorphaceae"
"209",0.115044247787611,"56","Vibrionaceae"
"210",0.114754098360656,"105","Flavobacteriaceae"
"211",0.114035087719298,"166","Flavobacteriaceae"
"212",0.113636363636364,"122","Flavobacteriaceae"
"213",0.113636363636364,"122","Rhodobacteraceae"
"214",0.113475177304965,"167","Cryomorphaceae"
"215",0.113207547169811,"OPU 1","Flavobacteriaceae"
"216",0.113122171945701,"40","Rhodobacteraceae"
"217",0.11304347826087,"100","Flavobacteriaceae"
"218",0.112676056338028,"155","Flavobacteriaceae"
"219",0.111675126903553,"107","Flavobacteriaceae"
"220",0.110294117647059,"209","Rhodobacteraceae"
"221",0.110169491525424,"81","Moraxellaceae"
"222",0.110091743119266,"39","Rhodobacteraceae"
"223",0.109090909090909,"41","Moraxellaceae"
"224",0.109090909090909,"139","Flavobacteriaceae"
"225",0.108527131782946,"55","Pseudomonadaceae"
"226",0.108433734939759,"50","Cryomorphaceae"
"227",0.108,"131","Rhodobacteraceae"
"228",0.107913669064748,"137","Cryomorphaceae"
"229",0.107142857142857,"43","Moraxellaceae"
"230",0.10655737704918,"105","Flavobacteriaceae"
"231",0.10655737704918,"105","Rhodobacteraceae"
"232",0.106100795755968,"165","Cryomorphaceae"
