"","Site","Month","Year","Latitude","Longitude","Habitat","Lagoon","Distance_to_population_center","Island_shore","Herbivore_total","Corallivore_total","Predator_total","Herbivore_richness","Corallivore_richness","Predator_richness","Observed","Shannon","FaithPD","location","Phosphate","Silicate","Nitrite_plus_Nitrate","Ammonia","N.P","Percent_N","Percent_C","Percent_H","C_to_N","evenness","Site_number"
"23","178","May",2021,-17.48728956,-149.8183929,"Fringing reef","Paraoro",414.56,"N",11.7,1.8,0,2,2,0,45,3.2199141316631,8.585160911,"moorea",0.12,1.59,0.97,0.42,11.5833333333333,0.77,26.35,3.32,34.14,0.845862784083434,"178"
"24","180","May",2021,-17.47707864,-149.8212362,"Reef pass","Paraoro",942.75,"N",6.3,4.7,0.3,2,2,1,47,3.5019287755164,8.404020657,"moorea",0.16,1.07,0.49,1.01,9.375,0.7,28.23,3.63,40.35,0.909557019050648,"180"
"25","188","May",2021,-17.47806804,-149.8172428,"Mid lagoon","Paraoro",653.2,"N",4.11111111111111,4,0.333333333333333,2,2,2,44,3.2087345268033,12.987795213,"moorea",0.17,0.85,0.28,1.66,11.4117647058824,0.68,28.35,3.73,41.62,0.847931746877305,"188"
"26","201","May",2021,NA,NA,NA,NA,NA,NA,3.625,0.75,0.125,2,2,1,261,4.6306571700625,29.54812087,"moorea",0.17,0.85,0.13,0.37,2.94117647058824,0.66,28.83,3.82,43.69,0.83217543132176,"201"
"27","204","May",2021,NA,NA,NA,NA,NA,NA,0,0,0.166666666666667,0,0,1,20,2.25509645316296,5.005983217,"moorea",0.18,1.66,0.06,0.7,4.22222222222222,0.66,29.74,3.9,45.12,0.752769689424756,"204"
"28","205","May",2021,NA,NA,NA,NA,NA,NA,1.5,0,0,2,0,0,268,4.27634358300053,35.036752177,"moorea",0.26,11.2,0.39,0.96,5.19230769230769,0.85,28.11,3.65,33.07,0.764863806320257,"205"
"29","206","May",2021,NA,NA,NA,NA,NA,NA,1.75,0.625,0,2,2,0,161,4.22134268678589,22.30190493,"moorea",0.18,1.03,0.37,0.95,7.33333333333333,0.69,26.93,3.45,39.05,0.830743311017484,"206"
"30","38","May",2021,-17.56786983,-149.7925031,"Fringing reef","Haumi",1531.14,"SE",1,0,0.2,2,0,1,171,4.25040321384179,21.917097069,"moorea",0.2,0.74,0.24,0.15,1.95,0.72,27.01,3.53,37.65,0.826659147790078,"38"
"31","39","May",2021,-17.57239278,-149.7883265,"Reef pass","Haumi",1634.15,"SE",1.6,1.6,0,2,2,0,190,4.42179806840004,23.19263538,"moorea",0.16,0.94,0.25,0.26,3.1875,0.56,27.17,3.62,48.08,0.842724944194767,"39"
"32","40","May",2021,-17.57566885,-149.7885266,"Reef pass","Maatea",1360.37,"SE",4.1,2.4,0,4,4,0,260,4.76855902907335,32.913490266,"moorea",0.2,0.75,0.2,0.11,1.55,0.69,28.06,3.69,40.61,0.857549369932636,"40"
"33","41","May",2021,-17.57019438,-149.7873946,"Reef crest","Haumi",1577.78,"SE",3.4,3.4,0.2,2,2,2,63,3.44923772732021,10.539392314,"moorea",0.11,0.93,0.18,0.28,4.18181818181818,0.6,29.01,3.94,48.28,0.832518842640758,"41"
"34","42","May",2021,-17.56927254,-149.7896573,"Mid lagoon","Haumi",1508.11,"SE",3,1.8,0.1,2,2,1,38,3.0197076593064,8.804022337,"moorea",0.12,0.82,0.22,0.29,4.25,0.71,28.66,3.78,40.23,0.830140518110377,"42"
"35","43","May",2021,-17.56248479,-149.7830339,"Reef crest","Haumi",966.93,"SE",3.3,3.3,0.2,2,2,2,55,3.14363511811098,11.138878125,"moorea",0.17,0.77,0.13,0.53,3.88235294117647,0.59,28.04,3.7,47.28,0.784470612450112,"43"
