"","Observed","Shannon","FaithPD","sample.id","location","site.number","lat","long","sample_type","collection_time","collection_date","Phosphate","Silicate","Nitrite_plus_Nitrate","Ammonia","N.P","Percent_N","Percent_C","Percent_H","C_to_N","evenness"
"155_LW0521",70,3.51261979556829,12.536276259,"155_LW0521","moorea","155",-17.48487,-149.83479,"lagoon_water","15:50","5/24/21",0.14,0.94,0.41,0.64,7.5,0.57,28.93,3.89,50.43,0.826791509803809
"156_LW0521",84,3.58866364248238,14.777017717,"156_LW0521","moorea","156",-17.48503,-149.83127,"lagoon_water","15:35","5/24/21",0.13,0.9,0.33,0.17,3.84615384615385,0.7,28.01,3.63,40.03,0.809932751771462
"157_LW0521",62,3.36399742899565,13.146301426,"157_LW0521","moorea","157",-17.48115,-149.83014,"lagoon_water","14:53","5/24/21",0.11,1.13,0.18,0.34,4.72727272727273,0.53,27.09,3.62,50.95,0.815092777493576
"160_LW0521",79,3.67509978682816,13.004001943,"160_LW0521","moorea","160",-17.48205,-149.82621,"lagoon_water","14:28","5/24/21",0.17,1.1,0.69,0.26,5.58823529411765,0.72,28.54,3.66,39.69,0.841090204281342
"162_LW0521",323,5.00081290779403,39.050353515,"162_LW0521","moorea","162",-17.476,-149.78036,"lagoon_water","10:45","5/23/21",0.15,1.81,0.27,0.41,4.53333333333333,0.68,29,3.56,42.77,0.86554410477311
"163_LW0521",55,3.4779927423782,10.148484941,"163_LW0521","moorea","163",-17.47785,-149.78665,"lagoon_water","11:58","5/23/21",0.17,0.91,0.25,0.21,2.70588235294118,0.68,27.99,3.54,41.05,0.867907054795205
"165_LW0521",372,4.98423207247172,47.910986599,"165_LW0521","moorea","165",-17.47961,-149.79613,"lagoon_water","16:15","5/23/21",0.17,0.91,0.77,0.4,6.88235294117647,0.73,27.85,3.59,38.28,0.842088436654993
"166_LW0521",225,4.52550975041791,24.280287174,"166_LW0521","moorea","166",-17.47499,-149.78672,"lagoon_water","11:32","5/23/21",0.15,0.75,0.29,0.13,2.8,0.48,28.72,3.7,60.45,0.835566074176907
"167_LW0521",248,4.67027427122637,28.706844569,"167_LW0521","moorea","167",-17.47283,-149.78103,"lagoon_water","11:06","5/23/21",0.13,0.86,0.3,0.9,9.23076923076923,0.56,28.6,3.66,51.08,0.847072572484936
"168_LW0521",272,4.73450417018288,29.258151128,"168_LW0521","moorea","168",-17.47187,-149.78655,"lagoon_water","12:31","5/23/21",0.15,0.88,0.27,0.44,4.73333333333333,0.6,28.96,3.53,48.46,0.844572126199094
"169_LW0521",249,4.60792158205734,25.604264348,"169_LW0521","moorea","169",-17.47434,-149.79374,"lagoon_water","15:18","5/23/21",0.16,0.88,0.31,0.91,7.625,0.58,28.54,3.62,49.29,0.835153769053443
"170_LW0521",224,4.62471684912512,27.533759457,"170_LW0521","moorea","170",-17.47682,-149.79501,"lagoon_water","15:50","5/23/21",0.16,0.85,0.39,0.84,7.6875,0.72,27.85,3.6,38.81,0.854585980829221
"172_LW0521",169,4.23224919117705,23.629618415,"172_LW0521","moorea","172",-17.48044,-149.79966,"lagoon_water","10:35","5/25/21",0.17,0.96,0.66,1.66,13.6470588235294,0.68,27.53,3.51,40.28,0.825016131188959
"173_LW0521",194,4.24872139177219,21.398556868,"173_LW0521","moorea","173",-17.47605,-149.79737,"lagoon_water","10:15","5/25/21",0.16,0.83,0.44,0.72,7.25,0.72,28.06,3.58,39.02,0.806536786580384
"175_LW0521",40,3.13884826665741,7.954594412,"175_LW0521","moorea","175",-17.48082,-149.80484,"lagoon_water","11:23","5/25/21",0.12,1,0.58,0.34,7.66666666666667,0.69,28.34,3.56,41.08,0.850894778672391
"176_LW0521",61,3.41825935430706,12.164997526,"176_LW0521","moorea","176",-17.48256,-149.81385,"lagoon_water","15:50","5/25/21",0.17,0.87,0.84,0.75,9.35294117647059,0.67,27.08,3.38,40.48,0.831516477335279
"178_LW0521",45,3.2199141316631,8.585160911,"178_LW0521","moorea","178",-17.48729,-149.81839,"lagoon_water","16:15","5/25/21",0.12,1.59,0.97,0.42,11.5833333333333,0.77,26.35,3.32,34.14,0.845862784083434
"179_LW0521",64,3.58762869292932,10.668776922,"179_LW0521","moorea","179",-17.4812,-149.8176,"lagoon_water","14:50","5/25/21",0.1,0.95,0.34,0.26,6,0.73,27.69,3.52,38.03,0.862642353973347
"180_LW0521",47,3.5019287755164,8.404020657,"180_LW0521","moorea","180",-17.47708,-149.82124,"lagoon_water","9:32","5/26/21",0.16,1.07,0.49,1.01,9.375,0.7,28.23,3.63,40.35,0.909557019050648
"188_LW0521",44,3.2087345268033,12.987795213,"188_LW0521","moorea","188",-17.47807,-149.81724,"lagoon_water","15:20","5/25/21",0.17,0.85,0.28,1.66,11.4117647058824,0.68,28.35,3.73,41.62,0.847931746877305
"201_LW0521",261,4.6306571700625,29.54812087,"201_LW0521","moorea","201",-17.58183,-149.78965,"lagoon_water","15:30","5/22/21",0.17,0.85,0.13,0.37,2.94117647058824,0.66,28.83,3.82,43.69,0.83217543132176
"202_LW0521",36,2.77944210746635,12.98773405,"202_LW0521","moorea","202",-17.58791,-149.80488,"lagoon_water","11:36","5/26/21",0.21,2.5,0.45,1.75,10.4761904761905,0.65,26.69,3.47,41.06,0.775618088030481
"204_LW0521",20,2.25509645316296,5.005983217,"204_LW0521","moorea","204",-17.50963,-149.76818,"lagoon_water","12:18","5/21/21",0.18,1.66,0.06,0.7,4.22222222222222,0.66,29.74,3.9,45.12,0.752769689424756
"205_LW0521",268,4.27634358300053,35.036752177,"205_LW0521","moorea","205",-17.55094,-149.78795,"lagoon_water","16:21","5/22/21",0.26,11.2,0.39,0.96,5.19230769230769,0.85,28.11,3.65,33.07,0.764863806320257
"206_LW0521",161,4.22134268678589,22.30190493,"206_LW0521","moorea","206",-17.56594,-149.79259,"lagoon_water","11:15","5/22/21",0.18,1.03,0.37,0.95,7.33333333333333,0.69,26.93,3.45,39.05,0.830743311017484
"208_LW0521",197,4.4488462338149,25.000776728,"208_LW0521","moorea","208",-17.55015,-149.88495,"lagoon_water","14:30","5/20/21",0.19,5.15,0.48,0.9,7.26315789473684,0.75,26.6,3.4,35.51,0.842073571688216
"209_LW0521",200,4.48917443682607,21.941815722,"209_LW0521","moorea","209",-17.5528,-149.88307,"lagoon_water","14:10","5/20/21",0.14,1.05,0.34,0.92,9,0.81,26.63,3.33,33.08,0.847283038416941
"210_LW0521",128,3.8535985732966,16.188740555,"210_LW0521","moorea","210",-17.55789,-149.87744,"lagoon_water","12:30","5/20/21",0.21,1.17,0.46,1.73,10.4285714285714,0.82,26.97,3.45,33.07,0.794223935895971
"29_LW0521",43,3.10388563718309,8.426386387,"29_LW0521","moorea","29",-17.59742,-149.82838,"lagoon_water","11:12","5/26/21",0.16,0.78,0.14,1.47,10.0625,0.64,29.79,4.21,46.55,0.825238099996903
"38_LW0521",171,4.25040321384179,21.917097069,"38_LW0521","moorea","38",-17.56787,-149.7925,"lagoon_water","11:30","5/22/21",0.2,0.74,0.24,0.15,1.95,0.72,27.01,3.53,37.65,0.826659147790078
"39_LW0521",190,4.42179806840004,23.19263538,"39_LW0521","moorea","39",-17.57239,-149.78833,"lagoon_water","12:55","5/22/21",0.16,0.94,0.25,0.26,3.1875,0.56,27.17,3.62,48.08,0.842724944194767
"40_LW0521",260,4.76855902907335,32.913490266,"40_LW0521","moorea","40",-17.57567,-149.78853,"lagoon_water","14:15","5/22/21",0.2,0.75,0.2,0.11,1.55,0.69,28.06,3.69,40.61,0.857549369932636
"41_LW0521",63,3.44923772732021,10.539392314,"41_LW0521","moorea","41",-17.57019,-149.78739,"lagoon_water","12:22","5/22/21",0.11,0.93,0.18,0.28,4.18181818181818,0.6,29.01,3.94,48.28,0.832518842640758
"42_LW0521",38,3.0197076593064,8.804022337,"42_LW0521","moorea","42",-17.56927,-149.78966,"lagoon_water","11:50","5/22/21",0.12,0.82,0.22,0.29,4.25,0.71,28.66,3.78,40.23,0.830140518110377
"43_LW0521",55,3.14363511811098,11.138878125,"43_LW0521","moorea","43",-17.56248,-149.78303,"lagoon_water","10:49","5/22/21",0.17,0.77,0.13,0.53,3.88235294117647,0.59,28.04,3.7,47.28,0.784470612450112
"48_LW0521",41,3.14905596344504,7.393434307,"48_LW0521","moorea","48",-17.59492,-149.81718,"lagoon_water","14:41","5/26/21",0.17,0.74,0.14,1.03,6.88235294117647,0.56,27.94,3.88,49.6,0.847985687871607
"50_LW0521",89,3.53557676805337,13.759077738,"50_LW0521","moorea","50",-17.601,-149.80085,"lagoon_water","13:28","5/26/21",0.17,0.74,0.13,0.6,4.29411764705882,0.61,30.24,4.23,49.66,0.787672797889028
