sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
19	31007	28684	92.51	27760	25729	82.98	25446	82.07
2	53147	48344	90.96	45726	42070	79.16	40562	76.32
20	31107	28723	92.34	27250	25288	81.29	24914	80.09
200	58824	54130	92.02	51601	46724	79.43	45049	76.58
201	55726	50932	91.4	49421	45953	82.46	44222	79.36
202	60079	54932	91.43	52115	47246	78.64	45217	75.26
203	46902	42889	91.44	41274	37343	79.62	36997	78.88
204	46782	42782	91.45	39017	34284	73.28	32435	69.33
205	51253	46300	90.34	43718	38665	75.44	38054	74.25
206	38846	36507	93.98	34774	31689	81.58	30736	79.12
207	55036	50339	91.47	48327	44548	80.94	42846	77.85
208	67672	62859	92.89	59105	54631	80.73	51598	76.25
209	65039	60022	92.29	56686	51174	78.68	49363	75.9
21	25895	24157	93.29	22775	21214	81.92	20912	80.76
210	56750	50982	89.84	48608	44754	78.86	42611	75.09
22	25143	23477	93.37	22227	20324	80.83	19771	78.63
24	28947	26735	92.36	25138	23105	79.82	22620	78.14
25	44469	40966	92.12	38896	35836	80.59	34705	78.04
26	45722	42148	92.18	40444	37771	82.61	37042	81.02
27	29722	27730	93.3	26360	24595	82.75	24237	81.55
28	25740	23493	91.27	22261	20613	80.08	19346	75.16
29	20839	19209	92.18	18653	17163	82.36	17068	81.9
3	57150	52254	91.43	48636	43877	76.78	41235	72.15
30	26541	24728	93.17	23245	21362	80.49	20720	78.07
31	23760	22030	92.72	20781	19043	80.15	18718	78.78
32	25006	23043	92.15	21643	19762	79.03	19352	77.39
34	21497	19541	90.9	18329	16835	78.31	16340	76.01
35	27403	24878	90.79	22748	20163	73.58	20157	73.56
36	23555	21703	92.14	19976	17622	74.81	17584	74.65
37	29835	27472	92.08	26188	23983	80.39	23370	78.33
38	30983	28709	92.66	27478	25916	83.65	25276	81.58
39	30567	28584	93.51	27267	25100	82.11	24778	81.06
4	46096	42465	92.12	40154	37023	80.32	35879	77.84
40	28208	26131	92.64	24479	22270	78.95	21656	76.77
41	29516	27444	92.98	26412	24781	83.96	23961	81.18
42	24644	22696	92.1	21467	19793	80.32	19317	78.38
43	26894	24794	92.19	23933	22389	83.25	22245	82.71
44	32280	30258	93.74	29257	27530	85.29	26855	83.19
45	48750	45015	92.34	43226	40512	83.1	38441	78.85
46	30626	28309	92.43	27203	25331	82.71	24978	81.56
47	29701	27499	92.59	25189	22690	76.39	22414	75.47
48	25823	23682	91.71	22467	20624	79.87	20239	78.38
5	47743	43978	92.11	41479	38299	80.22	36947	77.39
50	26749	24635	92.1	23908	22500	84.12	22447	83.92
51	26418	24674	93.4	23517	22051	83.47	21732	82.26
52	31658	29282	92.49	27838	26046	82.27	25057	79.15
53	27812	25253	90.8	22524	19413	69.8	17687	63.59
54	23506	20912	88.96	19430	17763	75.57	16989	72.28
