"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4c2f8a06e720104c010c280559198241","Bacteria",NA,NA,NA,NA,NA,NA
"2b93594e5335ba3a9f796fdea6ac8eb8","Bacteria",NA,NA,NA,NA,NA,NA
"2caebc3ea36d888485dbf40d3778d717","Bacteria",NA,NA,NA,NA,NA,NA
"881dbf55d52376439bfd710446c14099","Bacteria",NA,NA,NA,NA,NA,NA
"78033a93b1af71fbc42500b30c2c2fce","Bacteria",NA,NA,NA,NA,NA,NA
"7e3e13be941eacd9c72f509a14449479","Bacteria",NA,NA,NA,NA,NA,NA
"7c2feff8dcec7d64c1d2d140fb1c6d1a","Bacteria",NA,NA,NA,NA,NA,NA
"ee40908d2e7edabf4f0ed0c25a029d8e","Bacteria",NA,NA,NA,NA,NA,NA
"07aea3f61eced6aaeb7630d1e55d8943","Bacteria",NA,NA,NA,NA,NA,NA
"04cb446e2094568f0c7177af961582bc","Bacteria",NA,NA,NA,NA,NA,NA
"5d12a582d7f558a040ba3bff370983ae","Bacteria",NA,NA,NA,NA,NA,NA
"87ccafaa269550ca851041c9cdeaad8b","Bacteria",NA,NA,NA,NA,NA,NA
"2b74fd6bf4536c7278c8b15021231875","Bacteria",NA,NA,NA,NA,NA,NA
"b3166edcc78c78020eb9014fa7b4e77a","Bacteria",NA,NA,NA,NA,NA,NA
"7a343691a7df40117bd7f283943894f6","Bacteria",NA,NA,NA,NA,NA,NA
"4c1a41b15316fd81912ef14d0a73c65c","Bacteria",NA,NA,NA,NA,NA,NA
"671b6f4ed90665d47ce80ffa009060bc","Bacteria",NA,NA,NA,NA,NA,NA
"559076105a1fe53f239c5c24a1df3808","Bacteria",NA,NA,NA,NA,NA,NA
"dc88791c80fb19f5c1f2dd6163a757e7","Bacteria",NA,NA,NA,NA,NA,NA
"5a593a04e2c0cab7731614cc0b531f01","Bacteria",NA,NA,NA,NA,NA,NA
"f518e6f5e1cf74adc0fe299da250f323","Bacteria",NA,NA,NA,NA,NA,NA
"de69010c18a067df5254fb4cee5fb6c1","Bacteria",NA,NA,NA,NA,NA,NA
"ab0bdc0e8dfcbd49d2005b93a8a288e5","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"bc58be84bedc6ff484d1cc17d5885627","Bacteria",NA,NA,NA,NA,NA,NA
"824376842f41440957bc7bd09408d9df","Bacteria",NA,NA,NA,NA,NA,NA
"2dc3432d1a048bc14fe31cd52389bc89","Bacteria",NA,NA,NA,NA,NA,NA
"99a9c5d761fca0ff36b7b8f340465e27","Bacteria",NA,NA,NA,NA,NA,NA
"4eb7c981b75611e40e26103ee2f3766b","Bacteria",NA,NA,NA,NA,NA,NA
"5892b2f317326af953c1dad66194f124","Bacteria",NA,NA,NA,NA,NA,NA
"27bfd122c65817eade441570421db5ce","Bacteria",NA,NA,NA,NA,NA,NA
"da7c1eccf76e5f7f3eefd1ffa12e41a0","Bacteria",NA,NA,NA,NA,NA,NA
"6c8c427591f4acbc1b45f09d8fe9820e","Bacteria",NA,NA,NA,NA,NA,NA
"a1cf3768de29d639c3539f1f54a2a148","Bacteria",NA,NA,NA,NA,NA,NA
"c24d61010ada24157b603da385ccf1ed","Bacteria",NA,NA,NA,NA,NA,NA
"f90619e144d0d00a79eadda46c4412bc","Bacteria",NA,NA,NA,NA,NA,NA
"c59403c1ff35023e2e9b9943d67b6b9d","Bacteria",NA,NA,NA,NA,NA,NA
"7537605aef7e80075b65df4d68a9da21","Bacteria",NA,NA,NA,NA,NA,NA
"832cf4b78417edea670d39051eb91791","Bacteria",NA,NA,NA,NA,NA,NA
