Site_number,Time,Habitat,Lat,Lon,Coral_sampler,Date,Time,CCAR,CSPI,JUVPAR,SALT,SFRE,SOVI,SPSI,CSPI_JUV,CSPI_SUB,CSPI_ADULT,SPSI_JUV,SPSI_SUB,SPSI_ADULT,PARROT_JUV,PARROT_SUB,PARROT_ADULT,PREDATOR,FISH_TOT
134,10,LAG,-17.48733,-149.88701,TCA,44340,0.572222222,0,3.1,0,0,0,0.4,1.7,1.1,1.7,0.3,0.6,1.1,0,1.7,2.8,1.7,0.3,6.1
136,10,LAG,-17.4869,-149.88057,TCA,44340,0.625,0,3.5,0.2,0,0,0,0.5,2.2,0.9,0.4,0.2,0,0.3,2.4,0.9,2.4,0,4.6
139,10,LAG,-17.49065,-149.86812,KES,44341,0.557638889,0,1.1,0,0,0,0,0.8,0,0.1,1,0.1,0.1,0.6,0.1,0.2,0.1,0.2,2.9
145,10,FR,-17.48967,-149.84942,KES,44342,0.538194444,0,1.3,0,0,0,0,4.2,0.4,0.9,0,1.9,2,0.3,2.3,2.9,2.3,0,6.2
146,6,FR,-17.48546,-149.84699,KES,44342,0.525694444,0,4.333333333,0,0,0,0,3.666666667,1.666666667,1.666666667,1,2.166666667,1.333333333,0.166666667,3.833333333,3,3.833333333,0,8
147,10,BA,-17.48169,-149.84987,KES,44342,0.488888889,0,1.9,0,0,0,0,2.3,0.1,1,0.8,0.1,0.8,1.4,0.2,1.8,0.2,0.4,5
148,10,LAG,-17.48387,-149.84902,KES,44342,0.509027778,0,4.5,0.7,0,0.1,0,1,3.7,0.3,0.5,0.6,0.2,0.2,4.3,0.5,4.3,0,6.8
151,10,BA,-17.47822,-149.84236,KES,44342,0.465972222,0.1,3,0,0,0,0,1.2,0.1,1.6,1.3,0.1,0.8,0.3,0.2,2.4,0.2,0.1,4.9
152,10,LAG,-17.4801,-149.84228,KES,44342,0.449305556,0.1,4.1,0.3,0,0,0,0.6,1.1,2.1,0.9,0.3,0.1,0.2,1.4,2.2,1.4,0.1,5.7
153,10,BA,-17.47842,-149.83398,KES,44342,0.428472222,0,2.8,0,0,0,0,1,0,1.2,1.6,0.2,0.3,0.5,0.2,1.5,0.2,0.1,4.3
161,10,FR,-17.47371,-149.77685,TCA,44339,0.428472222,0,1.6,0,0.1,0,0.2,1.7,0.2,0.6,0.8,0.3,0.4,1,0.5,1,0.5,0,3.8
162,10,FR,-17.476,-149.78036,TCA,44339,0.447916667,0,1.5,1.1,0,0,0.2,1.1,0.4,0.9,0.2,0.5,0.4,0.2,0.9,1.3,0.9,0.1,4.2
163,10,FR,-17.47785,-149.78665,TCA,44339,0.498611111,0,1.7,0.1,0,0,0.4,2.9,0.5,0.8,0.4,1.3,0.7,0.9,1.8,1.5,1.8,0.1,5.5
164,10,FR,-17.47881,-149.79099,TCA,44339,0.615972222,0,4.1,0,0,0,0.4,0.4,1.8,1.8,0.5,0.3,0.1,0,2.1,1.9,2.1,0.1,5.2
165,8,FR,-17.47961,-149.79613,TCA,44339,0.677083333,0,2,0.625,0,0,0.125,1.875,1,1,0,1.5,0.375,0,2.5,1.375,2.5,0.125,5
166,10,LAG,-17.47499,-149.78672,TCA,44339,0.480555556,0,1.1,0,0,0,0.3,2.2,0.4,0.3,0.4,0.7,1,0.5,1.1,1.3,1.1,0,4
167,10,BA,-17.47283,-149.78103,TCA,44339,0.4625,0,2.4,0,0,0,0,1.5,0,0.4,2,0,0.4,1.1,0,0.8,0,0.1,4.2
168,10,BA,-17.47187,-149.78655,TCA,44339,0.521527778,0,3.7,0,0,0,0,2.8,0,0.9,2.8,0.3,1.4,1.1,0.3,2.3,0.3,0.1,6.8
169,10,BA,-17.47434,-149.79374,TCA,44339,0.6375,0,2.6,0,0,0,0.1,1.7,0.2,0.6,1.8,0,0.4,1.3,0.2,1,0.2,0.2,4.8
170,9,LAG,-17.47682,-149.79501,TCA,44339,0.659722222,0,3.444444444,0,0,0,0,0.444444444,0.333333333,1.888888889,1.222222222,0,0,0.444444444,0.333333333,1.888888889,0.333333333,0.111111111,4.666666667
